popularity,liveness,valence,tempo,duration_ms,release_date,release_dates,release_dates
[51,0.118,0.606,115.051,208133,2020/10/26,"2020/10/26","2020/10/26"],
[50,0.663,0.483,105.009,196947,2020/10/26,"2020/10/26","2020/10/26"],
[55,0.107,0.423,105.882,193573,2020/10/26,"2020/10/26","2020/10/26"],
[54,0.0999,0.509,100.062,181520,2020/10/26,"2020/10/26","2020/10/26"],
[53,0.357,0.553,97.995,209480,2020/10/26,"2020/10/26","2020/10/26"],
[51,0.0898,0.69,85.96,171053,2020/10/26,"2020/10/26","2020/10/26"],
[51,0.455,0.522,100.156,198867,2020/10/26,"2020/10/26","2020/10/26"],
[55,0.0646,0.723,105.963,247360,2020/10/26,"2020/10/26","2020/10/26"],
[50,0.195,0.346,86.468,218533,2020/10/26,"2020/10/26","2020/10/26"],
[66,0.344,0.599,134.98,182680,2021/7/28,"2021/7/28","2021/7/28"],
[57,0.353,0.584,124.99,223667,2021/7/28,"2021/7/28","2021/7/28"],
[53,0.117,0.37,91.021,231233,2021/7/28,"2021/7/28","2021/7/28"],
[55,0.0764,0.81,114.922,220240,2021/7/28,"2021/7/28","2021/7/28"],
[58,0.0648,0.761,130.999,227747,2021/7/28,"2021/7/28","2021/7/28"],
[51,0.144,0.772,114.994,227653,2021/7/28,"2021/7/28","2021/7/28"],
[50,0.327,0.55,113.009,210953,2021/7/28,"2021/7/28","2021/7/28"],
[51,0.34,0.727,103.01,241747,2021/7/28,"2021/7/28","2021/7/28"],
[51,0.0638,0.502,102.022,197353,2021/7/28,"2021/7/28","2021/7/28"],
[51,0.116,0.317,135.786,259693,2021/7/28,"2021/7/28","2021/7/28"],
[19,0.325,0.61,134.966,184973,2021/7/28,"2021/7/28","2021/7/28"],
[13,0.29,0.582,124.982,222067,2021/7/28,"2021/7/28","2021/7/28"],
[9,0.117,0.37,91.021,231233,2021/7/28,"2021/7/28","2021/7/28"],
[12,0.0767,0.801,114.993,220033,2021/7/28,"2021/7/28","2021/7/28"],
[12,0.0628,0.763,131.012,227493,2021/7/28,"2021/7/28","2021/7/28"],
[9,0.144,0.772,114.994,227653,2021/7/28,"2021/7/28","2021/7/28"],
[11,0.327,0.55,113.009,210953,2021/7/28,"2021/7/28","2021/7/28"],
[9,0.34,0.727,103.01,241747,2021/7/28,"2021/7/28","2021/7/28"],
[9,0.0638,0.502,102.022,197353,2021/7/28,"2021/7/28","2021/7/28"],
[9,0.116,0.317,135.786,259693,2021/7/28,"2021/7/28","2021/7/28"],
[27,0.0557,0.603,127.023,185218,2021/10/1,"2021/10/1","2021/10/1"],
[28,0.0816,0.922,120.044,198053,2021/10/1,"2021/10/1","2021/10/1"],
[25,0.0363,0.674,117.996,202922,2021/10/1,"2021/10/1","2021/10/1"],
[22,0.317,0.553,124.057,135000,2021/10/1,"2021/10/1","2021/10/1"],
[15,0.062,0.9,119.958,198053,2021/10/1,"2021/10/1","2021/10/1"],
[12,0.634,0.947,126.987,249710,2021/10/1,"2021/10/1","2021/10/1"],
[10,0.0782,0.673,118.004,202922,2021/10/1,"2021/10/1","2021/10/1"],
[10,0.102,0.176,123.991,135000,2021/10/1,"2021/10/1","2021/10/1"],
[7,0.0616,0.487,126.989,185218,2021/10/1,"2021/10/1","2021/10/1"],
[40,0.0557,0.607,127.015,185218,2021/10/1,"2021/10/1","2021/10/1"],
[63,0.0816,0.922,120.044,198053,2021/10/1,"2021/10/1","2021/10/1"],
[37,0.0353,0.679,117.996,202922,2021/10/1,"2021/10/1","2021/10/1"],
[37,0.317,0.553,124.044,135000,2021/10/1,"2021/10/1","2021/10/1"],
[33,0.062,0.9,119.958,198053,2021/10/1,"2021/10/1","2021/10/1"],
[25,0.634,0.948,126.99,249709,2021/10/1,"2021/10/1","2021/10/1"],
[26,0.0785,0.67,118.006,202922,2021/10/1,"2021/10/1","2021/10/1"],
[26,0.102,0.176,123.991,135000,2021/10/1,"2021/10/1","2021/10/1"],
[22,0.0677,0.487,127.013,184041,2021/10/1,"2021/10/1","2021/10/1"],
[56,0.0816,0.922,120.044,198053,2021/10/1,"2021/10/1","2021/10/1"],
[29,0.0363,0.674,117.996,202922,2021/10/1,"2021/10/1","2021/10/1"],
[21,0.317,0.553,124.057,135000,2021/10/1,"2021/10/1","2021/10/1"],
[13,0.062,0.9,119.958,198053,2021/10/1,"2021/10/1","2021/10/1"],
[10,0.0782,0.673,118.004,202922,2021/10/1,"2021/10/1","2021/10/1"],
